Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,,0,,,,,,,,,,,,,,,,,,0,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,,,,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,,,,,,,,,,,,,,,,,,,,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,,48,,,,,,,,,,,,,,,,,,115,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,56,33,28,24,4,24,64,37.5,40,409,142,34.7,184,188,37,69,25,0,44,45,101,78,2,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,0,0,0,0,0,0,2,0,2,4,1,25,0,4,0,2,0,0,2,2,2,3,0,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,56,81,28,24,4,24,66,36.4,42,413,143,34.6,184,192,37,71,25,0,46,162,103,81,2,
Brighton (3 Seasons),,,,2 Leagues,,35.5,56,33,28,24,4,24,64,37.5,40,409,142,34.7,184,188,37,69,25,0,44,45,101,78,2,
Leeds United (1 Season),,,,1 League,,46,,48,,,,,,,,,,,,,,,,,,115,0,,,
Newport County (1 Season),,,,1 League,,41.6,,0,,,,,,,,,,,,,,,,,,0,0,,,
P'borough Utd (1 Season),,,,1 League,,14,,,,,,,,,,,,,,,,,,,,,0,,,
Brighton (1 Season),,,,1 League,,4.8,,,,,,,,,,,,,,,,,,,,,0,,,
Arsenal (1 Season),,,,1 League,,1,0,0,0,0,0,0,2,0,2,4,1,25,0,4,0,2,0,0,2,2,2,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,56,33,28,24,4,24,66,36.4,42,413,143,34.6,184,192,37,71,25,0,46,47,103,81,2,
Championship (2 Seasons),,,,,,46,,48,,,,,,,,,,,,,,,,,,115,0,,,
League Two (1 Season),,,,,,41.6,,0,,,,,,,,,,,,,,,,,,0,0,,,
League One (1 Season),,,,,,14,,,,,,,,,,,,,,,,,,,,,0,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,,,,,,,,,,,,,,,,,,,,,0,,,
