Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,8,0,0,31,0,0,0,0,0,0,0,0,,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,0,0,0,,,,,,,,,0,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,1,0,0,,,,,,,,,0,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,6,0,0,41,41,1,4,115,48,,,0,,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,5,1,1,30,9,1,19,45,33,0,0,0,302,52,46,53.1,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,0,0,0,1,1,0,0,2,0,0,0,0,13,4,3,57.1,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,20,1,1,103,51,2,23,162,81,0,0,0,315,56,49,53.3,
Brighton (3 Seasons),,,,2 Leagues,,35.5,5,1,1,30,9,1,19,45,33,0,0,0,302,52,46,53.1,
Leeds United (1 Season),,,,1 League,,46,6,0,0,41,41,1,4,115,48,,,0,,,,,
Newport County (1 Season),,,,1 League,,41.6,8,0,0,31,0,0,0,0,0,0,0,0,,,,,
P'borough Utd (1 Season),,,,1 League,,14,1,0,0,,,,,,,,,0,,,,,
Brighton (1 Season),,,,1 League,,4.8,0,0,0,,,,,,,,,0,,,,,
Arsenal (1 Season),,,,1 League,,1,0,0,0,1,1,0,0,2,0,0,0,0,13,4,3,57.1,
,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,5,1,1,31,10,1,19,47,33,0,0,0,315,56,49,53.3,
Championship (2 Seasons),,,,,,46,6,0,0,41,41,1,4,115,48,,,0,,,,,
League Two (1 Season),,,,,,41.6,8,0,0,31,0,0,0,0,0,0,0,0,,,,,
League One (1 Season),,,,,,14,1,0,0,,,,,,,,,0,,,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,0,0,0,,,,,,,,,0,,,,,
