,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,,,,,,,,0,,,,,,,,,,,,,,,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,,,,,,,,4,,,,,,,,,,,,,,,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,1766,1688,78,33,3,157,43,19,0,0,0,0,1296,157,313,147,1462,72,45,7,1470,3,39,30,24,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,61,59,2,2,1,7,0,0,0,0,0,0,44,8,9,4,48,7,0,1,56,0,0,0,1,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,1827,1747,80,35,4,164,43,23,0,0,0,0,1340,165,322,151,1510,79,45,8,1526,3,39,30,25,
Brighton (3 Seasons),,,,2 Leagues,,35.5,1766,1688,78,33,3,157,43,19,0,0,0,0,1296,157,313,147,1462,72,45,7,1470,3,39,30,24,
Leeds United (1 Season),,,,1 League,,46,,,,,,,,4,,,,,,,,,,,,,,,,,,
Newport County (1 Season),,,,1 League,,41.6,,,,,,,,0,,,,,,,,,,,,,,,,,,
P'borough Utd (1 Season),,,,1 League,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton (1 Season),,,,1 League,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal (1 Season),,,,1 League,,1,61,59,2,2,1,7,0,0,0,0,0,0,44,8,9,4,48,7,0,1,56,0,0,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,1827,1747,80,35,4,164,43,19,0,0,0,0,1340,165,322,151,1510,79,45,8,1526,3,39,30,25,
Championship (2 Seasons),,,,,,46,,,,,,,,4,,,,,,,,,,,,,,,,,,
League Two (1 Season),,,,,,41.6,,,,,,,,0,,,,,,,,,,,,,,,,,,
League One (1 Season),,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
