Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,,,,,,,,,,,,,,,6,,,,,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,,,,,,,,,,,,,,,2,,,,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,,,,,,,,,,,,,,,0,,,,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,,,,,,,,,,,,,,,2,,,,,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,1470,1766,83.2,30785,9425,487,540,90.2,729,816,89.3,241,375,64.3,0,0.7,-0.7,8,111,20,2,116,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,56,61,91.8,1172,390,19,20,95,21,21,100,13,16,81.3,0,0,0,0,3,0,0,4,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,1526,1827,83.5,31957,9815,506,560,90.4,750,837,89.6,254,391,65,8,0.7,-0.7,8,114,20,2,120,
Brighton (3 Seasons),,,,2 Leagues,,35.5,1470,1766,83.2,30785,9425,487,540,90.2,729,816,89.3,241,375,64.3,0,0.7,-0.7,8,111,20,2,116,
Leeds United (1 Season),,,,1 League,,46,,,,,,,,,,,,,,,2,,,,,,,,
Newport County (1 Season),,,,1 League,,41.6,,,,,,,,,,,,,,,6,,,,,,,,
P'borough Utd (1 Season),,,,1 League,,14,,,,,,,,,,,,,,,0,,,,,,,,
Brighton (1 Season),,,,1 League,,4.8,,,,,,,,,,,,,,,2,,,,,,,,
Arsenal (1 Season),,,,1 League,,1,56,61,91.8,1172,390,19,20,95,21,21,100,13,16,81.3,0,0,0,0,3,0,0,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,1526,1827,83.5,31957,9815,506,560,90.4,750,837,89.6,254,391,65,0,0.7,-0.7,8,114,20,2,120,
Championship (2 Seasons),,,,,,46,,,,,,,,,,,,,,,2,,,,,,,,
League Two (1 Season),,,,,,41.6,,,,,,,,,,,,,,,6,,,,,,,,
League One (1 Season),,,,,,14,,,,,,,,,,,,,,,0,,,,,,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,,,,,,,,,,,,,,,2,,,,,,,,
