,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2017-2018,19,Newport County,eng ENG,4. League Two,11th,41.6,1,0,1,,0,0.02,,1,,,0,0,,,,,,Matches
2018-2019,20,Brighton,eng ENG,Jr. PL2 ƒ?? Div. 1,3rd,4.8,0,,,,,,,,,,0,0,,,,,,Matches
2018-2019,20,P'borough Utd,eng ENG,3. League One,7th,14,1,,,,,,,,,,0,0,,,,,,Matches
2019-2020,21,Leeds United,eng ENG,2. Championship,1st,46,1,19,4,21.1,0.41,0.09,0.05,0.25,,,0,0,,,,,,Matches
2020-2021,22,Brighton,eng ENG,1. Premier League,16th,35.5,0,10,0,0,0.28,0,0,,16.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
2021-2022,23,Arsenal,eng ENG,1. Premier League,17th,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
6 Seasons,,5 Clubs,,4 Leagues,,138.1,3,29,5,17.2,0.23,0.04,0.07,0.4,16.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,
Brighton (3 Seasons),,,,2 Leagues,,35.5,0,10,0,0,0.28,0,0,,16.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,
Leeds United (1 Season),,,,1 League,,46,1,19,4,21.1,0.41,0.09,0.05,0.25,,,0,0,,,,,,
Newport County (1 Season),,,,1 League,,41.6,1,0,1,,0,0.02,,1,,,0,0,,,,,,
P'borough Utd (1 Season),,,,1 League,,14,1,,,,,,,,,,0,0,,,,,,
Brighton (1 Season),,,,1 League,,4.8,0,,,,,,,,,,0,0,,,,,,
Arsenal (1 Season),,,,1 League,,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
Premier League (3 Seasons),,,,,,36.5,0,10,0,0,0.27,0,0,,16.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,
Championship (2 Seasons),,,,,,46,1,19,4,21.1,0.41,0.09,0.05,0.25,,,0,0,,,,,,
League Two (1 Season),,,,,,41.6,1,0,1,,0,0.02,,1,,,0,0,,,,,,
League One (1 Season),,,,,,14,1,,,,,,,,,,0,0,,,,,,
PL2 ƒ?? Div. 1 (1 Season),,,,,,4.8,0,,,,,,,,,,0,0,,,,,,
